,사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,장소일치여부
3011,북구,2023-06-28,관음동로 31길 6-12,흰/검,4.1,코숏,1살,암컷,양호,2주항생제투여,방사,2023-06-28,강동물병원,2023-07-01,북구 관음동로 31길 6-12,-,True
3012,북구,2023-06-28,관음동로 31길 6-12,흰/회색,3.9,코숏,1살,수컷,양호,2주항생제투여,방사,2023-06-28,강동물병원,2023-06-29,관음동로 31길6-12,-,True
3013,달서구,2023-06-28,대구시 달서구 앞산순환로 45길 18,흰색검정색,4.07,코숏,1살,수컷,양호,없음,방사,2023-06-28,세림종합동물병원,2023-06-29,대구시 달서구 앞산순환로 45길 18,-,False
3014,달성군,2023-06-28,대구 달성군 다사읍 달구벌대로 895,갈백,4.0,한국고양이,1살,암컷,양호,.,방사,2023-06-28,119동물병원,2023-07-01,대구 달성군 다사읍 달구벌대로 895,-,False
3015,수성구,2023-06-28,무열로79,턱시도,2.3,한국고양이,2살,암컷,양호,얌전함,방사,2023-06-28,금강동물병원,2023-07-01,무열로79,-,False
3016,북구,2023-06-28,관음동로 31길 6-12,치즈,3.6,코숏,1살,암컷,양호,2주항생제투여,방사,2023-06-28,강동물병원,2023-07-01,북구 관음동로 31길 6-12,-,True
3017,중구,2023-06-28,대구광역시 중구 대봉로 253 (봉산동),검정,3.14,코숏,1살,암컷,양호,.,방사,2023-06-28,대구시수의사회(삼덕),2023-07-01,대구광역시 중구 대봉로 253 (봉산동),-,False
3018,북구,2023-06-27,북구 중앙대로118길46,노랑,3.0,코숏,0 - 6개월,암컷,치료요함,목뒤상처,방사,2023-06-27,북부동물병원,2023-06-30,북구 중앙대로118길46,-,False
3019,군위군,2023-06-27,군위읍 동부리,노란색,2.6,코숏,2살,암컷,양호,노란색에 치즈 줄무늬,방사,2023-06-27,군위종합동물병원,2023-06-30,군위읍 동부리,-,False
3020,남구,2023-06-27,대구광역시 남구 대경3길 14-1 (대명동),고등어 태비,4.18,코숏,1살,수컷,양호,없음,방사,2023-06-27,리더스동물병원,2023-06-28,대구광역시 남구 대경3길 14-1 (대명동),-,False
3021,수성구,2023-06-27,지범로,회색,3.2,코숏,3살,암컷,양호,건강함,방사,2023-06-27,세인트동물병원,2023-06-30,지범로,-,False
3022,달서구,2023-06-27,달서구 성서공단로 236,흰색 노랑,4.0,코숏,3살,수컷,양호,없음,방사,2023-06-27,애플동물병원,2023-06-28,달서구 성서공단로 236,-,False
3023,남구,2023-06-27,남구 봉덕로 9길 30,삼색,3.08,코숏,1살,암컷,양호,없음,방사,2023-06-27,우리동물병원,2023-06-30,남구 봉덕로 9길 30,-,False
3024,북구,2023-06-27,북구 관음동로 31길 6-12,호랑이,3.5,코숏,1살,암컷,양호,2주항생제투여,방사,2023-06-27,강동물병원,2023-06-30,북구 관음동로 31길 6-12,-,False
3025,북구,2023-06-27,북구 구암로 41길 11-1,삼색,2.0,코숏,1살,암컷,양호,무,방사,2023-06-27,강동물병원,2023-06-30,북구 구암로 41길 11-1,-,False
3026,북구,2023-06-27,북구 매전로 72-25,턱시도,3.1,코숏,1살,암컷,양호,무,방사,2023-06-27,강동물병원,2023-06-30,북구 매전로 72-25,-,False
3027,중구,2023-06-27,국채보상로 150길 15-12,흰갈,2.8,믹스,2살,암컷,양호,없음 ,방사,2023-06-27,대구시수의사회(동인),2023-06-30,국채보상로 150길 15-12,-,False
3028,동구,2023-06-27,대구광역시 동구 팔공로 28길 8,치즈,3.8,코숏,3살,암컷,치료요함,유선종양,방사,2023-06-27,동대구동물의료센터,2023-06-30,대구광역시 동구 팔공로 28길 8,-,False
3029,북구,2023-06-27,대구시 북구 유통단지로 13길 45,노란색,4.0,믹스,3살,암컷,양호,없음,방사,2023-06-27,가나동물병원,2023-06-30,대구시 북구 유통단지로 13길 45,-,False
3030,동구,2023-06-27,대구시 동구 율하서로 32,흰색/고등어 태비,3.12,코숏,2살,암컷,양호,상태 양호,방사,2023-06-27,율하동물병원,2023-06-30,대구시 동구 율하서로 32,-,False
