,종류,공고번호,발견장소,특징,성별,상태
3936,강원-춘천-2024-00386,춘천로373,.,암컷,방사,코숏|삼색
3940,충북-청주-2024-01131,송암1길 199,가슴 배 부위 흰 ..,수컷,방사,코숏|고등어
3944,경기-안산-2024-00644,이동공원로35,없음,수컷,방사,한국고양이|흰고
3948,대구-동구-2024-00159,대구시 동구 안심뉴..,건강 양호,암컷,방사,KSH|치즈
3952,경기-고양-2024-00546,중산동19-7,,암컷,방사,ksh|고등어
3956,대구-동구-2024-00160,대구시 동구 안심뉴..,건강 양호,수컷,방사,KSH|턱시도
3960,울산-중구-2024-00131,중구 산전6길 32..,없음,수컷,방사,한국고양이|흰바탕 검은무늬
3964,대구-수성-2024-00253,파동로 84,양호,암컷,방사,코숏|검정
3968,경기-파주-2024-00329,경기도 파주시 교하..,없음,수컷,방사,한국고양이|턱시도
3972,경기-고양-2024-00545,중산동19-7,임신,암컷,방사,ksh|카오스
3976,경기-고양-2024-00550,식사동609-7,,수컷,방사,ksh|치즈
3980,경기-시흥-2024-00359,은계로142번길19..,약간순함,수컷,방사,코숏|흰치즈
3984,경북-상주-2024-00526,부곡1길 61,무,수컷,방사,ksh|치즈태비
3988,서울-금천-2024-00089,서울 금천구 독산로..,없음,암컷,방사,korean shot hair|삼색
3992,대구-남구-2024-00073,대구 남구 대명로 ..,무,수컷,방사,"코숏|흰색,회색,검정색"
3996,경기-고양-2024-00543,중산동19-7,,수컷,방사,ksh|고등어
4000,전북-전주-2024-01082,농은길 22-16,"종합백신,광견병백신..",수컷,방사,"KSH|회색,흰색"
4004,대전-유성-2024-00199,지족로 349번길,없음,암컷,방사,"KSH|검정색, 흰색"
4008,인천-중구-2024-00153,운서동 2732-4..,길고양이,암컷,방사,한국고양이|삼색
4012,경기-시흥-2024-00354,옥구천서로237번길..,온순함,암컷,방사,한국길고양이|젖소
4016,경기-평택-2024-00428,경기도 평택시 오성..,"횡경막탈장,호흡불안..",암컷,,코리안숏헤어|삼색이
4020,인천-동구-2024-00081,솔빛로54사회복지관..,새끼낳지못하게 포획..,수컷,방사,한국고양이|노란+흰색조금(치즈테비0
4024,경기-파주-2024-00325,당하2길 73-20..,겁이많음.,수컷,방사,코숏|턱시도
4028,경기-파주-2024-00330,경기도 파주시 파평..,없음,암컷,방사,코숏|고등어
4032,경기-파주-2024-00326,당하2길 73-20..,겁이많음.,수컷,방사,코숏|턱시도
4036,울산-북구-2024-00130,북구 CGV 인근주..,온순,암컷,방사,코리안숏헤어|삼색
4040,전북-전주-2024-01083,전북특별자치도 전주..,온순 종합백신 광견..,수컷,방사,한국고양이|치즈
4044,경남-거제-2024-00608,사등면 모래실,없음,암컷,방사,코숏|삼색이
4048,경기-남양주-2024-00991,금곡로19번길47,"사나움,진통제 투여..",암컷,방사,k.c.|흑갈줄무늬
4052,경기-고양-2024-00541,탄중로73-6,,수컷,방사,ksh|턱시도
