,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
112,수성구,2024-04-23,수성구 범물동 609,2.09,암컷,방사,2024-04-23,멘토동물병원,2024-04-26,범물동 609,True
113,달성군,2024-04-23,가창로 1037,4.2,수컷,방사,2024-04-23,동인동물병원,2024-04-25,가창로 1037,True
114,달성군,2024-04-23,가창로 1037,4.1,암컷,방사,2024-04-23,동인동물병원,2024-04-26,가창로 1037	,True
115,중구,2024-04-23,삼덕1가 28-20,3.0,암컷,방사,2024-04-23,대구시수의사회(동인),2024-04-26,삼덕1가 28-20,True
116,수성구,2024-04-23,수성구 범물동 609,4.45,수컷,방사,2024-04-23,멘토동물병원,2024-04-24,범물동 609,True
117,중구,2024-04-23,중앙대로62길 31,3.66,암컷,방사,2024-04-23,대구시수의사회(삼덕),2024-04-26,중앙대로62길 31,True
118,동구,2024-04-23,대구광역시 동구 팔공로 274,5.5,수컷,방사,2024-04-23,동대구동물의료센터,2024-04-24,대구광역시 동구 팔공로 274,True
119,수성구,2024-04-23,들안로 48길 43,3.4,암컷,방사,2024-04-23,신세계동물병원,2024-04-26,들안로 48길 43,True
120,달성군,2024-04-23,현풍도깨비시장,4.0,암컷,방사,2024-04-23,현풍동물병원,2024-04-26,현풍도깨비시장,True
121,서구,2024-04-23,내당동 463-7,5.16,수컷,방사,2024-04-23,대구수의사회(아이펫),2024-04-24,내당동 463-7,True
122,서구,2024-04-23,서구 죽전길 126-58일대,3.6,수컷,방사,2024-04-23,대구시수의사회(보경),2024-04-24,서구 죽전길 126-58일대,True
123,서구,2024-04-23,서구 달서천로76길 10-1일대,4.4,수컷,방사,2024-04-23,대구시수의사회(보경),2024-04-24,서구 달서천로76길 10-1일대,True
124,중구,2024-04-23,동덕로 122 ,4.95,수컷,방사,2024-04-23,대구시수의사회(삼덕),2024-04-24,동덕로 122 ,True
125,달서구,2024-04-22,달서구 선원로33안길76,4.5,수컷,방사,2024-04-23,온누리동물병원,2024-04-24,달서구 선원로33안길76,True
126,달성군,2024-04-22,다사읍 매곡로 7,4.0,암컷,방사,2024-04-22,119동물병원,2024-04-26,다사읍 매곡로 7,True
127,수성구,2024-04-22,지범로 54길 15,3.8,암컷,방사,2024-04-22,멘토동물병원,2024-04-25,지범로 54길 15,True
128,중구,2024-04-22,남문시장,3.44,암컷,방사,2024-04-23,대구시수의사회(동산),2024-04-26,남문시장,True
129,중구,2024-04-22,남문시장,4.69,수컷,방사,2024-04-22,대구시수의사회(동산),2024-04-23,남문시장,True
130,남구,2024-04-22,대구 남구  중앙대로 48길 20-2,4.0,수컷,방사,2024-04-22,독사랑동물병원,2024-04-23,대구 남구 중앙대로 48길 20-2,True
131,달성군,2024-04-22,다사읍 세천로1길 151,6.0,수컷,방사,2024-04-22,119동물병원,2024-04-23,다사읍 세천로1길 151,True
132,서구,2024-04-22,중리동 1017-2,3.8,수컷,방사,2024-04-22,대구시수의사회(평리),2024-04-23,중리동 1017-2,True
133,서구,2024-04-22,당산로 41서길92,3.2,암컷,방사,2024-04-22,대구시수의사회(삼성),2024-04-25,당산로41서길92,True
134,수성구,2024-04-22,무학로 189,4.84,수컷,방사,2024-04-22,신세계동물병원,2024-04-23,무학로 189,True
135,달성군,2024-04-22,가창로 1037,4.0,암컷,방사,2024-04-22,동인동물병원,2024-04-25,가창로 1037,True
136,중구,2024-04-22,동인1가 382-1,5.1,수컷,방사,2024-04-22,대구시수의사회(동인),2024-04-22,중구 태평로 252,True
137,북구,2024-04-22,북구 대현로10길27,3.3,암컷,방사,2024-04-22,북부동물병원,2024-04-25,북구 대현로10길 27,True
138,수성구,2024-04-22,지산동 379-1,7.0,수컷,방사,2024-04-22,멘토동물병원,2024-04-23,지산동 379-1,True
139,수성구,2024-04-22,들안로48길 43,3.42,수컷,방사,2024-04-22,허동물병원,2024-04-23,들안로48길 43,True
140,중구,2024-04-22,태왕아너스 후문,3.6,수컷,방사,2024-04-22,대구시수의사회(동산),2024-04-25,태왕아너스 후문,True
141,중구,2024-04-22,태왕아너스 후문,2.8,수컷,방사,2024-04-22,대구시수의사회(동산),2024-04-25,태왕아너스 후문,True
142,서구,2024-04-22,서대구로18길34,3.0,암컷,방사,2024-04-22,대구시수의사회(더펫),2024-04-25,서대구로18길34,True
143,달성군,2024-04-22,대구광역시 달성군 화원읍 화암로 7 ,3.8,수컷,방사,2024-04-22,화원연합동물병원,2024-04-23,화원읍 화암로 7,True
144,서구,2024-04-22,비산동9-12,3.2,수컷,방사,2024-04-22,대구시수의사회(더펫),2024-04-23,비산동9-12,True
145,달성군,2024-04-20,가창면 대일리 206,2.2,수컷,방사,2024-04-20,동인동물병원,2024-04-22,가창면 대일리 206,True
146,달성군,2024-04-20,가창면 대일리 206,2.2,수컷,방사,2024-04-20,동인동물병원,2024-04-22,가창면 대일리 206,True
147,서구,2024-04-20,서구 서대구로18길 34일대,3.1,암컷,방사,2024-04-20,대구시수의사회(보경),2024-04-23,서구 서대구로18길 34일대,True
148,서구,2024-04-20,큰장로19길 13-3,3.64,암컷,방사,2024-04-20,대구수의사회(아이펫),2024-04-23,큰장로19길 13-3,True
149,남구,2024-04-19,대구광역시 남구 현충로24길 16 (대명동)	,3.06,수컷,방사,2024-04-19,리더스동물병원,2024-04-20,대구광역시 남구 현충로24길 16,True
150,수성구,2024-04-19,지범로 54길 15,3.04,암컷,방사,2024-04-19,멘토동물병원,2024-04-22,지범로 54길 15,True
151,달성군,2024-04-19,주리1길 52-24,2.2,암컷,방사,2024-04-19,동인동물병원,2024-04-22,주리1길 52-24,True
152,달성군,2024-04-19,가창로1037,2.2,수컷,방사,2024-04-19,동인동물병원,2024-04-21,가창로1037,True
153,달서구,2024-04-19,대구광역시 달서구 상인서로 94,4.28,수컷,방사,2024-04-19,초록동물병원,2024-04-20,대구광역시 달서구 상인서로 94,True
154,서구,2024-04-19,서대구로5길34-1,3.3,암컷,방사,2024-04-19,대구시수의사회(더펫),2024-04-22,서대구로5길34-1,True
155,달성군,2024-04-19,주리1길 52-24,2.2,수컷,방사,2024-04-19,동인동물병원,2024-04-21,주리1길 52-24,True
156,달서구,2024-04-19, 대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),3.6,암컷,방사,2024-04-19,본리종합동물병원,2024-04-22,대구광역시 달서구 대명천로 250 (장기동 영남 네오빌 비스타),True
